Soil Moisture Content (%),Bulk Density (g/cm³),Soil Texture,Ploughing Depth (cm),Disc Angle (°),Operating Speed (km/h),Width of Cut (cm),Ambient Temperature (°C),Humidity (%),Draft Force (kN/m)
11.98896285,2.019891265,Sandy Clay Loam,11.84741679,39.14088946,5.309526841,37.8744879,18.03391821,71.35830748,1.95
25.81714335,2.016632968,Sandy Clay Loam,11.21507459,30.58355202,8.717168934,31.28018853,35.27971911,85.06302964,1.95
20.5678546,2.004092313,Sandy Clay Loam,22.08383901,39.18390511,9.960637716,95.40664641,27.63569884,87.10573443,4.25
17.36780362,2.038581334,Sandy Loam,29.32232645,31.3450291,8.885330765,53.30736449,30.60720974,80.10004497,4.25
6.744447371,2.028129933,Sandy Loam,20.05442618,40.65516358,5.423000485,108.166025,34.42674884,79.93084297,4.25
6.743868488,2.059256079,Sandy Loam,11.03030452,35.8511647,7.978766754,77.72286135,25.79678278,82.04225013,2.852527286
4.394006692,1.992568766,Sandy Clay Loam,14.42437312,42.56544737,6.737464129,72.61707562,25.93175908,76.3509667,4.047855398
23.7882275,2.041509434,Sandy Loam,14.89585813,44.13793868,8.505624487,98.82723988,21.00566828,72.98446124,4.13238997
17.42676028,2.05103591,Sandy Clay Loam,16.75714258,36.25665512,4.071681763,96.00201008,34.30490905,71.19547125,4.25
19.99374187,2.050758926,Sandy Loam,10.87206767,36.90832943,7.466942149,92.72286797,29.65811951,85.85982134,2.949232984
3.494027863,2.060885917,Sandy Loam,28.09785401,38.85221372,8.415667413,91.44257914,21.24484645,79.8518958,4.25
26.27783645,2.048322699,Sandy Loam,20.31127889,32.95699083,8.328619348,75.90116751,28.07625626,82.49327108,4.217685951
22.97862338,2.064224805,Sandy Loam,23.41861586,43.90999261,9.745151039,112.5119112,23.90695089,75.97693931,4.25
8.096138656,2.016612528,Sandy Clay Loam,11.34345674,36.4949989,3.408879665,109.320524,20.64927546,84.52615375,4.25
7.363799213,2.030256753,Sandy Loam,11.08230936,32.50230504,5.420455584,59.33680409,21.27365005,76.29858257,2.166238557
7.401708236,1.991126373,Sandy Loam,21.72935544,41.4409775,6.335875073,101.6660957,28.06662884,70.53570066,4.25
10.30181383,1.990556607,Sandy Clay Loam,27.74592021,33.28727059,5.168344699,109.3621242,28.15893407,76.06427971,4.25
15.59415436,2.00921013,Sandy Clay Loam,20.56964002,32.15293913,5.168526596,85.06178773,32.21893406,85.30586622,4.25
13.36668045,1.998064576,Sandy Loam,27.55638345,38.44308113,4.232900247,79.4798829,22.46371712,85.7659925,4.25
9.989499365,2.010816909,Sandy Loam,26.21982546,40.07242883,8.690659821,89.83823374,34.48500088,86.82493549,4.25
17.68446947,2.004163464,Sandy Clay Loam,11.51707572,38.54344111,9.356483311,44.52218216,27.33503277,78.99061236,1.95
6.347852656,1.992281602,Sandy Clay Loam,14.03914949,39.84765973,3.576291517,37.7788278,21.6751084,87.21867849,2.018479872
10.01147156,2.062744332,Sandy Loam,23.15421338,31.73286018,4.084292382,103.0425835,25.43905036,78.98521319,4.25
11.79268424,1.990657851,Sandy Clay Loam,18.87002765,37.14027057,4.599170999,81.06043379,34.6204669,72.7704782,4.25
13.94567962,2.048886572,Sandy Clay Loam,15.81399627,35.35527966,6.562912387,40.90998273,26.60681777,79.0366654,2.332949995
21.84422307,2.002171831,Sandy Loam,18.37267712,44.60052924,8.538204233,67.0772835,33.74487199,85.63505599,3.507083137
7.792170772,2.06297837,Sandy Loam,18.90399293,30.74435901,3.500188673,56.56075312,20.87698923,84.14241723,3.526005966
15.34162652,2.061423675,Sandy Loam,28.21104502,34.47441305,7.4576909,107.9700666,34.45125117,77.81295712,4.25
17.21794965,2.042312092,Sandy Clay Loam,12.06916567,44.12793291,4.045348194,75.17302933,25.7511385,73.82578035,3.179654505
4.114809905,2.043778732,Sandy Loam,15.59461494,44.75244275,9.800199475,81.43326736,34.85028498,80.46015293,4.25
17.58107645,1.990427131,Sandy Loam,20.75129633,42.37352412,9.291414016,50.95496346,33.58941335,86.76205664,3.138077151
7.092578968,2.068789725,Sandy Loam,23.96573853,31.13997366,9.647079943,101.1645995,29.87939352,73.1948599,4.25
4.561238232,2.060226608,Sandy Clay Loam,22.61274578,38.42032543,3.743147143,112.8348207,30.11123551,84.88672379,4.25
25.77325289,2.061608498,Sandy Loam,28.83285475,36.00184489,6.41625468,100.5795467,21.80714378,72.651843,4.25
26.17516879,2.042739563,Sandy Loam,25.9121785,42.09678852,4.156725969,73.89403529,28.85093602,86.55281578,4.25
22.40153635,2.017582954,Sandy Clay Loam,21.14153684,30.82536353,7.202488855,104.3730203,27.89092029,82.47861145,4.25
10.31073046,2.061491892,Sandy Clay Loam,14.29365383,32.95693127,4.629173789,46.73961707,24.01464665,71.96526485,2.48620862
5.344130736,2.013321354,Sandy Loam,19.01748463,37.33792599,8.394416884,40.10062056,27.10118744,73.64364663,2.551959695
19.42159264,2.035016923,Sandy Loam,23.86764488,32.36471494,7.508018205,69.02779485,34.72458394,86.68459095,4.25
13.56365985,1.997978478,Sandy Loam,26.7592435,40.39072714,7.00123216,46.16745964,18.09550195,79.13619592,3.819974406
5.928917636,2.06375645,Sandy Clay Loam,29.19472449,42.31150832,8.776590106,53.08083913,25.50823367,78.16283443,4.25
14.88424584,2.001261637,Sandy Loam,22.10905532,40.5677984,6.501911216,82.11049853,24.00549697,71.04889495,4.25
3.825324507,2.007991744,Sandy Loam,20.53838735,36.6042557,4.888962182,65.97161131,35.30215921,71.51271625,4.25
24.82368965,2.034650733,Sandy Clay Loam,10.35383846,43.17581499,7.344938478,107.1151196,35.53009616,82.44967463,3.629501964
9.210719558,2.05112744,Sandy Clay Loam,11.44198138,32.06529198,9.699438425,50.09303549,28.54188964,83.98480975,2.148929041
18.90053482,2.039548104,Sandy Loam,13.12209995,33.90507876,7.208115543,118.7741796,27.90012543,85.60611718,4.25
10.48106583,2.008570713,Sandy Clay Loam,11.09519862,37.34309528,7.407336143,62.00757762,34.25782494,79.05057792,2.538568907
15.48163251,1.990075443,Sandy Loam,18.01726478,30.92007898,9.543254769,75.90177788,18.11776453,75.9143248,4.144458696
16.1210467,2.050572046,Sandy Loam,16.7375709,31.43528672,6.606925702,41.7854977,28.12105085,81.25940732,2.127295923
7.436506933,2.068816586,Sandy Clay Loam,22.74708316,35.96165058,9.974502232,81.59237008,18.44338335,81.13984205,4.25
26.27003107,2.05479305,Sandy Clay Loam,20.71330216,44.15829445,4.117634305,115.6120327,35.42692088,70.62399517,4.25
21.60318776,2.026816529,Sandy Clay Loam,21.91941519,43.6262054,6.759278901,96.7413661,23.76287203,86.89845042,4.25
25.5479746,2.062301381,Sandy Clay Loam,19.43954406,36.98962287,4.490305887,51.73549913,27.37442343,81.56608492,3.283367694
24.47585641,2.022787814,Sandy Loam,15.55474297,32.13237817,6.173284578,69.41899897,25.51623308,70.11643427,2.998717491
17.34959949,2.031994727,Sandy Clay Loam,29.0565063,32.67161484,4.194017367,67.88909095,34.08523423,87.27341566,4.25
25.12498164,2.028170381,Sandy Clay Loam,11.7281832,35.66319082,4.557701401,38.72322818,35.99672299,87.14771716,1.95
5.123820049,2.02580991,Sandy Loam,28.77781999,33.15111293,4.475600347,108.8938171,19.2309836,87.02655553,4.25
7.703588698,2.052015262,Sandy Loam,16.22476094,31.24463392,5.240219373,63.97247581,31.17656045,86.00017812,3.419902302
4.085454934,2.032141513,Sandy Loam,20.25322891,40.10666225,3.942235242,74.01876096,24.62397523,73.32344841,4.25
10.80792794,2.01533737,Sandy Clay Loam,12.17684646,38.72172957,8.665395225,55.93852683,20.50331256,87.58911205,2.508986794
12.32825495,2.010652653,Sandy Loam,11.41862137,34.36945137,4.544729181,43.57235452,25.29787553,83.7147841,1.95
9.512376763,1.993019785,Sandy Clay Loam,18.59090897,41.68422574,5.915982966,110.3419718,35.96663934,81.53362642,4.25
22.88970022,2.036655613,Sandy Clay Loam,24.83394753,41.63923332,3.112399968,33.33061936,24.43621139,86.96807101,2.757698568
11.56207984,2.008396913,Sandy Clay Loam,15.38729555,37.36502955,3.734170803,65.61326839,22.99319079,76.85957091,3.692485814
9.742428232,2.001850714,Sandy Clay Loam,21.24695778,31.44798833,9.273903303,95.07573472,33.23108474,86.76464186,4.25
16.024706,2.042306397,Sandy Loam,15.57300681,43.777041,8.860121427,57.50688619,33.622884,80.90232105,2.722856582
6.382181399,2.044496741,Sandy Loam,17.77226122,40.02990785,8.886457167,69.72330774,24.09964479,80.42735259,4.127309149
22.25272754,2.050172391,Sandy Loam,28.12892637,33.70576229,5.879473921,80.27234398,23.37611653,81.62712551,4.25
4.789215448,2.030286152,Sandy Loam,27.11679251,39.15681821,3.990715592,118.6219684,29.6510666,83.57488616,4.25
26.68528648,2.061524368,Sandy Loam,20.32035087,36.07532244,3.75526165,97.53431714,21.69321271,78.00856182,4.25
21.53387446,2.06490742,Sandy Clay Loam,14.76211255,39.5302446,7.239219074,116.1312952,26.70633725,87.65087747,4.25
7.769176357,2.054589675,Sandy Clay Loam,13.86367825,37.10806344,8.797352784,91.73153591,20.54418645,71.59333828,4.25
3.132530811,2.040847479,Sandy Clay Loam,29.08174706,37.28208225,9.300801375,53.96185021,23.48558601,86.44883256,4.25
22.57107428,2.014297676,Sandy Clay Loam,14.05433193,41.03823138,5.021121554,55.60375333,23.35466696,81.83361589,2.602320088
19.96457625,2.068635594,Sandy Loam,26.16336622,39.20588619,5.247185989,103.2486709,30.50819937,86.37849693,4.25
20.49617203,2.011930893,Sandy Clay Loam,17.37940419,31.19929037,3.706136598,68.09216353,23.08091463,76.63768041,4.013008588
21.51048832,2.006212554,Sandy Clay Loam,29.71319695,30.98060356,8.420868525,62.97216666,34.17292266,84.92197721,4.25
4.777071642,2.025372329,Sandy Clay Loam,17.36311481,34.57513856,4.929831898,114.170074,35.6948297,81.08778593,4.25
11.60317749,1.994547246,Sandy Clay Loam,17.0303325,36.45368995,6.366506287,31.17854581,19.45911062,84.95995927,1.95
5.780857429,2.068279557,Sandy Clay Loam,22.74927258,34.12833839,9.502281132,76.7535508,25.15765737,75.85040278,4.25
23.71448222,2.037074685,Sandy Clay Loam,29.23033613,39.77189787,8.265510112,99.0283271,23.43313914,86.51142092,4.25
17.95915504,2.034556167,Sandy Loam,29.52419212,32.92661898,3.369165274,95.56321258,24.33582231,86.63633569,4.25
10.9415526,2.042463702,Sandy Loam,24.14412293,40.56211645,3.057082161,62.73617492,22.77638795,78.54681925,4.25
4.525400407,2.029761892,Sandy Clay Loam,25.09212731,41.59726113,8.511855481,77.70483865,24.8879675,77.20566775,4.25
10.46357572,1.992565081,Sandy Clay Loam,21.26804352,31.86478961,6.867501659,30.49671386,20.54546267,80.35349362,2.388408623
10.80439973,2.038984903,Sandy Clay Loam,25.11551478,39.76209365,8.042340866,77.63198382,23.03672896,73.60331921,4.25
20.51054828,2.04729391,Sandy Clay Loam,27.1955931,44.42153964,4.097707253,82.58113322,31.4607218,78.93177276,4.25
18.30137931,2.023339925,Sandy Clay Loam,19.72190606,32.89235726,9.10433495,107.9089165,24.19283746,86.14277431,4.25
24.29310582,2.050583646,Sandy Loam,22.39724526,43.63954247,8.413274853,48.76826125,21.74102815,76.57316798,3.054544744
14.3331582,2.008160104,Sandy Loam,20.7463339,39.09071924,9.235872398,103.4874771,19.95199269,83.24887833,4.25
5.870261903,2.007702127,Sandy Clay Loam,21.24941227,38.86417301,5.387672579,93.95100345,24.26407465,81.21620924,4.25
20.11787489,2.002913359,Sandy Loam,27.8009582,30.77884023,4.929936367,89.31670883,29.5813636,74.70502227,4.25
21.25884117,2.019759581,Sandy Clay Loam,17.1123366,41.22450418,4.062120079,65.12417963,22.55948768,79.57177686,3.757975113
16.47065274,2.057760963,Sandy Clay Loam,14.16368051,37.17409579,9.510619556,62.72370601,25.60402244,85.34664091,3.140276395
21.50321232,2.056232965,Sandy Loam,19.12560221,40.81761588,4.237804425,92.63244447,35.14317444,79.98853994,4.25
14.85109431,2.020625937,Sandy Loam,14.16170381,42.13771655,3.835220636,118.1892795,27.94253133,82.54319936,4.25
15.54558791,2.037129499,Sandy Loam,19.96800851,37.8569456,4.348747463,66.10080579,27.57489509,83.95700582,4.028599403
13.26098444,2.047665305,Sandy Loam,28.07016211,33.9546647,8.399672087,111.8104962,25.37897963,70.88919334,4.25
3.610059042,2.009296542,Sandy Clay Loam,22.34867041,32.12358737,9.226704645,82.23770504,28.02311959,70.92257924,4.25
5.589394248,2.003451287,Sandy Loam,27.10865707,32.40754692,8.676394195,107.3188331,35.72221094,72.06927968,4.25
3.754300456,2.067767679,Sandy Loam,13.32381839,43.00401981,6.94266987,49.34298121,22.5685243,72.93400603,2.249259237
18.27384987,2.039404585,Sandy Loam,28.01747185,31.85367143,9.957189755,97.88438858,34.95470211,84.60596764,4.25
10.54454355,2.068513258,Sandy Clay Loam,22.03574329,35.7704111,3.481978451,104.3600691,20.68327772,77.84054879,4.25
15.20569659,2.017020479,Sandy Clay Loam,10.63519577,35.01411969,9.070341745,104.1129836,19.99989654,73.33472946,3.933370234
24.78159537,2.046242536,Sandy Clay Loam,22.66237911,42.981835,5.993997032,99.88639539,29.78405092,79.57243971,4.25
8.9830135,2.007808291,Sandy Loam,29.02793913,37.16540251,6.185856441,57.09166278,22.52122244,83.74012417,4.25
12.84919015,2.010896014,Sandy Loam,11.58334001,44.94669626,3.893164256,76.48488657,25.99906151,72.52114622,2.764140855
21.13322733,2.03095217,Sandy Loam,21.64912261,41.05582119,3.23403082,56.69170772,31.13378583,76.19924607,3.536513647
8.491155972,2.01556945,Sandy Clay Loam,28.30957206,42.76385363,5.216398282,60.54454365,27.62714706,73.49865727,4.25
4.847517836,2.003409725,Sandy Loam,10.19390337,31.48008399,4.223974732,56.82655377,18.24748829,81.63474839,1.95
9.95403487,2.011030456,Sandy Loam,22.61825853,33.79653383,6.383371292,55.3132609,23.50517819,72.46302878,4.012112072
6.869310894,1.992859872,Sandy Clay Loam,19.49804584,32.03169293,4.031313682,91.75613415,19.16436006,84.059722,4.25
25.31274366,2.04635389,Sandy Loam,16.93978637,36.95432959,3.965494156,87.91248506,34.6700619,73.74081408,4.115894699
22.39488911,2.029369333,Sandy Loam,22.5507298,40.77431232,9.138852889,48.19177274,32.30367468,71.05483593,3.089481609
18.20169016,1.997539445,Sandy Loam,11.05404189,32.53595352,9.449062909,91.58665721,35.70915031,86.39563516,2.989340841
23.91505416,2.003735519,Sandy Loam,25.06126093,31.95252817,9.74951346,55.92256915,33.93197122,75.99782171,3.902331639
22.28812985,1.998202763,Sandy Clay Loam,10.08958954,39.21913123,7.7635171,47.96503488,26.55597637,79.0494173,1.95
7.477681413,2.039007425,Sandy Clay Loam,16.13871488,33.45469131,8.397115534,96.55025247,33.88675531,71.817859,4.25
24.42141596,1.997536829,Sandy Clay Loam,20.07917275,37.18987608,8.850493287,62.31703235,30.10389504,78.63030994,4.08681996
15.94421381,2.050342587,Sandy Loam,17.54044501,30.76676592,7.612454414,80.7063577,27.44279382,74.00613043,4.25
22.37856372,1.991640874,Sandy Loam,16.1495187,40.20919218,5.311701733,47.82303992,24.67162883,85.126813,2.181387065
24.5061912,2.009950063,Sandy Clay Loam,26.61670291,38.11974572,4.094708989,84.65557315,30.25739117,82.84757999,4.25
10.6320834,2.061253334,Sandy Loam,28.69665149,39.71134348,4.66091315,48.52389528,28.62240161,81.93950779,4.25
5.641246189,2.047482505,Sandy Clay Loam,27.4742537,34.1310957,8.88289836,44.8620588,29.05532969,84.0627045,4.25
8.470443901,1.995837467,Sandy Clay Loam,20.44862626,34.17904463,7.872680668,64.4242346,25.19696396,75.28692739,4.25
13.25058693,2.055690088,Sandy Loam,27.6832835,42.020408,6.190570345,100.3629074,31.30767206,78.16567827,4.25
22.63235438,2.02944281,Sandy Clay Loam,28.4172313,40.77843469,3.20583554,45.72214906,19.46416982,71.55827158,4.25
23.657534,2.057742642,Sandy Clay Loam,18.18476794,38.69592977,4.863430593,40.4223861,31.07086133,71.22011995,2.439809815
3.166851133,2.038059182,Sandy Clay Loam,15.66891719,39.42215214,8.102282452,32.81854349,31.15370364,75.92364754,2.017854973
15.25793526,2.044546643,Sandy Clay Loam,11.96530412,31.41066269,6.586710646,67.04591028,27.28698112,84.80941393,2.859558254
13.01786408,2.069480125,Sandy Clay Loam,19.58183842,42.84256957,6.048727461,55.11715228,22.7390967,80.75797088,3.933171928
8.330587451,2.008586844,Sandy Clay Loam,28.92593841,41.5486055,5.195755805,56.01517861,27.34697726,77.64118366,4.25
5.876768816,2.039915646,Sandy Loam,21.21815056,38.85737301,7.248522814,117.4517494,20.21555134,87.40582429,4.25
11.10276411,2.026825711,Sandy Clay Loam,23.35124204,43.77892697,9.764697698,47.28863026,23.13258796,77.95905086,4.06399789
